name,rating,actor
Jaane Tu... Ya Jaane Na,7.5,"Abbas Tyrewala (dir.), Imran Khan, Genelia D'Souza"
Ghilli,7.5,"Dharani (dir.), Joseph Vijay, Trisha Krishnan"
Ghajini,7.5,"A.R. Murugadoss (dir.), Suriya, Asin"
Madaari,7.5,"Nishikant Kamat (dir.), Irrfan Khan, Jimmy Sheirgill"
Shaadi Mein Zaroor Aana,7.5,"Ratnaa Sinha (dir.), Rajkummar Rao, Kriti Kharbanda"
Dum Laga Ke Haisha,7.5,"Sharat Katariya (dir.), Ayushmann Khurrana, Bhumi Pednekar"
October,7.4,"Shoojit Sircar (dir.), Varun Dhawan, Banita Sandhu"
Chillar Party,7.4,"Vikas Bahl (dir.), Aarav Khanna, Chinmay Chandraunshuh"
Jolly LLB,7.4,"Subhash Kapoor (dir.), Arshad Warsi, Amrita Rao"
Karwaan,7.4,"Akarsh Khurana (dir.), Irrfan Khan, Dulquer Salmaan"
Peepli (Live),7.4,"Anusha Rizvi (dir.), Omkar Das Manikpuri, Raghuvir Yadav"
Baghban,7.4,"Ravi Chopra (dir.), Amitabh Bachchan, Hema Malini"
Sivaji,7.4,"S. Shankar (dir.), Rajinikanth, Shriya Saran"
Hichki,7.4,"Siddharth Malhotra (dir.), Rani Mukerji, Neeraj Kabi"
Bareilly Ki Barfi,7.4,"Ashwiny Iyer Tiwari (dir.), Ayushmann Khurrana, Kriti Sanon"
Kabhi Khushi Kabhie Gham...,7.4,"Karan Johar (dir.), Shah Rukh Khan, Kajol"
Badlapur,7.4,"Sriram Raghavan (dir.), Varun Dhawan, Nawazuddin Siddiqui"
Chachi 420,7.4,"Kamal Haasan (dir.), Kamal Haasan, Amrish Puri"
Dear Zindagi,7.4,"Gauri Shinde (dir.), Alia Bhatt, Shah Rukh Khan"
Guzaarish,7.4,"Sanjay Leela Bhansali (dir.), Hrithik Roshan, Aishwarya Rai Bachchan"
Mankatha,7.4,"Venkat Prabhu (dir.), Ajith Kumar, Arjun"
Once Upon a Time in Mumbaai,7.4,"Milan Luthria (dir.), Ajay Devgn, Emraan Hashmi"
Yuva,7.4,"Mani Ratnam (dir.), Ajay Devgn, Abhishek Bachchan"
Kaminey,7.4,"Vishal Bhardwaj (dir.), Shahid Kapoor, Priyanka Chopra"
Golmaal: Fun Unlimited,7.4,"Rohit Shetty (dir.), Ajay Devgn, Arshad Warsi"
Life in a Metro,7.4,"Anurag Basu (dir.), Dharmendra, Irrfan Khan"
Monsoon Wedding,7.4,"Mira Nair (dir.), Naseeruddin Shah, Lillete Dubey"
Khiladi,7.3,"Abbas Alibhai Burmawalla (dir.), Akshay Kumar, Ayesha Jhulka"
Raid,7.3,"Raj Kumar Gupta (dir.), Ajay Devgn, Saurabh Shukla"
Page 3,7.3,"Madhur Bhandarkar (dir.), Konkona Sen Sharma, Atul Kulkarni"
Ghulam,7.3,"Vikram Bhatt (dir.), Aamir Khan, Rani Mukerji"
Bharat Ane Nenu,7.3,"Koratala Siva (dir.), Mahesh Babu, Kiara Advani"
Maine Pyar Kiya,7.3,"Sooraj R. Barjatya (dir.), Salman Khan, Bhagyashree"
Khaleja,7.3,"Trivikram Srinivas (dir.), Mahesh Babu, Anushka Shetty"
Ishqiya,7.3,"Abhishek Chaubey (dir.), Vidya Balan, Naseeruddin Shah"
Ghajini,7.3,"A.R. Murugadoss (dir.), Aamir Khan, Asin"
Raman Raghav 2.0,7.3,"Anurag Kashyap (dir.), Nawazuddin Siddiqui, Vicky Kaushal"
Lootera,7.3,"Vikramaditya Motwane (dir.), Ranveer Singh, Sonakshi Sinha"
Srimanthudu,7.3,"Koratala Siva (dir.), Mahesh Babu, Shruti Haasan"
Gold,7.3,"Reema Kagti (dir.), Akshay Kumar, Mouni Roy"
Bhool Bhulaiyaa,7.3,"Priyadarshan (dir.), Akshay Kumar, Vidya Balan"
Holiday,7.3,"A.R. Murugadoss (dir.), Akshay Kumar, Sonakshi Sinha"
Parineeta,7.3,"Pradeep Sarkar (dir.), Vidya Balan, Saif Ali Khan"
Ayan,7.3,"Anand K.V. (dir.), Suriya, Tamannaah Bhatia"
