,title,location,date,link
84,"Customer Service Representative In Billerica, MA!", (Billerica),Jan 17,https://boston.craigslist.org/nwb/ofc/d/billerica-customer-service/6797408855.html
85,Executive Assistant / Practice Coordinator- 75-90K  +bonus!, (Boston),Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-practice/6797402180.html
86,Data Entry Clerk, (Marblehead),Jan 17,https://boston.craigslist.org/nos/ofc/d/marblehead-data-entry-clerk/6797364704.html
87,Shopping Center Research, (Burlington),Jan 17,https://boston.craigslist.org/bmw/ofc/d/burlington-shopping-center-research/6797357537.html
88,Temporary HR Admin Assistant, (Waltham),Jan 17,https://boston.craigslist.org/gbs/ofc/d/waltham-temporary-hr-admin-assistant/6797347470.html
89,Administrative Associate,N/A,Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-associate/6797327250.html
90,"Collections/Customer Service Representative Needed in Woburn, MA!", (Woburn),Jan 17,https://boston.craigslist.org/nwb/ofc/d/woburn-collections-customer-service/6797309986.html
91,Part-Time Administrative Assistant,N/A,Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-part-time-administrative/6797282095.html
92,Executive Assistant - Russian/English, (Newton Corner),Jan 17,https://boston.craigslist.org/gbs/ofc/d/newton-executive-assistant-russian/6797244863.html
93,Office Administrator," (Cambridge, MA)",Jan 17,https://boston.craigslist.org/gbs/ofc/d/cambridge-office-administrator/6797123365.html
94,"Receptionist Needed- Newton, Ma.",N/A,Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-receptionist-needed-newton-ma/6797115029.html
95,Office/Admin, (Chelsea/New England Produce  Center),Jan 17,https://boston.craigslist.org/nos/ofc/d/chelsea-office-admin/6797094487.html
96,Financial Administrative Assistant," (Brighton, MA)",Jan 17,https://boston.craigslist.org/gbs/ofc/d/brighton-financial-administrative/6797062096.html
97,Executive Assistant: Financial C-Suite,N/A,Jan 17,https://boston.craigslist.org/gbs/ofc/d/boston-executive-assistant-financial/6797039830.html
98,Personal Assistant/Helper, (191 Beach Road),Jan 17,https://boston.craigslist.org/nwb/ofc/d/salisbury-personal-assistant-helper/6797004294.html
99,Executive Assistant, (Boston: Boston/Cambridge/Brookline),Jan 16,https://boston.craigslist.org/gbs/ofc/d/cambridge-executive-assistant/6796790663.html
100,Part-time Administrative Position, (Winchester),Jan 16,https://boston.craigslist.org/bmw/ofc/d/winchester-part-time-administrative/6796762825.html
101,Ambulatory Services Representative, (Boston: Boston/Cambridge/Brookline),Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-ambulatory-services/6796746752.html
102,Administrative / Customer Service Position, (Woburn),Jan 16,https://boston.craigslist.org/nos/ofc/d/woburn-administrative-customer-service/6796675787.html
103,Office / Data Entry, (Braintree),Jan 16,https://boston.craigslist.org/sob/ofc/d/office-data-entry/6796645701.html
104,Office Coordinator - Temp to Hire in Boston, (Boston: Boston/Cambridge/Brookline),Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-office-coordinator-temp-to-hire/6796640837.html
105,"EA to President, Event Planning", (Boston),Jan 16,https://boston.craigslist.org/gbs/ofc/d/ea-to-president-event-planning/6796631834.html
106,Insurance Claim Representative, (Beverly),Jan 16,https://boston.craigslist.org/nos/ofc/d/beverly-insurance-claim-representative/6796619446.html
107,Receptionist/Sales Assistant, (Boston),Jan 16,https://boston.craigslist.org/sob/ofc/d/boston-receptionist-sales-assistant/6796583878.html
108,Receptionist & Administrative Assistant, (Beverly),Jan 16,https://boston.craigslist.org/nos/ofc/d/beverly-receptionist-administrative/6796580595.html
109,Human Resources Coordinator,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-human-resources-coordinator/6796571529.html
110,Recruiter Needed,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-recruiter-needed/6796559202.html
111,Cabinet Showroom Administrative Assistant, (Beverly),Jan 16,https://boston.craigslist.org/nos/ofc/d/beverly-cabinet-showroom-administrative/6796551083.html
112,Support/Administrative Staff Needed For Consulting Firm," (Needham Heights, MA)",Jan 16,https://boston.craigslist.org/bmw/ofc/d/needham-support-administrative-staff/6796548451.html
113,Receptionist/Admin, (Brookline),Jan 16,https://boston.craigslist.org/gbs/ofc/d/brookline-receptionist-admin/6796542787.html
114,Office Manager," (Wakefield, MA)",Jan 16,https://boston.craigslist.org/nos/ofc/d/wakefield-office-manager/6796542051.html
115,Event Coordinator Part Time," (Boston, MA)",Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-event-coordinator-part-time/6796528200.html
116,OFFICE ASSISTANT/CLIENT SERVICE COORDINATOR, (Back Bay),Jan 16,https://boston.craigslist.org/gbs/ofc/d/office-assistant-client-service/6796475112.html
117,Office Administrator," (Bedford, MA)",Jan 16,https://boston.craigslist.org/bmw/ofc/d/bedford-office-administrator/6796449882.html
118,Evening Customer Service Representative, (Auburndale),Jan 16,https://boston.craigslist.org/gbs/ofc/d/waltham-evening-customer-service/6796418343.html
119,Work-Life Resource Assistant, (Framingham),Jan 16,https://boston.craigslist.org/bmw/ofc/d/framingham-work-life-resource-assistant/6796398847.html
120,Administrative Assistant,N/A,Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-administrative-assistant/6796351054.html
121,Office Manager, (Boston: Boston/Cambridge/Brookline),Jan 16,https://boston.craigslist.org/gbs/ofc/d/boston-office-manager/6796264441.html
122,Dispatcher for HVAC Company, (North Billerica MA),Jan 16,https://boston.craigslist.org/nwb/ofc/d/north-billerica-dispatcher-for-hvac/6796249477.html
